code,level,classificationName,
20200,5,"Tillverkning av bekämpningsmedel, desinfektionsmedel och andra lantbrukskemiska produkter",
203,3,"Tillverkning av färg, lack, tryckfärg m.m.",
2030,4,"Tillverkning av färg, lack, tryckfärg m.m.",
20300,5,"Tillverkning av färg, lack, tryckfärg m.m.",
204,3,"Tillverkning av rengöringsmedel, tvättmedel och polermedel",
2041,4,"Tillverkning av tvål, såpa, tvättmedel och polermedel",
20410,5,"Tillverkning av tvål, såpa, tvättmedel och polermedel",
2042,4,Tillverkning av parfym och toalettartiklar,
20420,5,Tillverkning av parfym och toalettartiklar,
205,3,Tillverkning av andra kemiska produkter,
2051,4,Tillverkning av flytande biobränslen,
20510,5,Tillverkning av flytande biobränslen,
2059,4,Tillverkning av diverse övriga kemiska produkter,
20590,5,Tillverkning av diverse övriga kemiska produkter,
206,3,Konstfibertillverkning,
2060,4,Konstfibertillverkning,
20600,5,Konstfibertillverkning,
21,2,Tillverkning av farmaceutiska basprodukter och läkemedel,
211,3,Tillverkning av farmaceutiska basprodukter,
2110,4,Tillverkning av farmaceutiska basprodukter,
21100,5,Tillverkning av farmaceutiska basprodukter,
212,3,Tillverkning av läkemedel,
2120,4,Tillverkning av läkemedel,
21200,5,Tillverkning av läkemedel,
22,2,Tillverkning av gummi- och plastvaror,
221,3,Tillverkning av gummivaror,
2211,4,"Tillverkning och regummering av däck, tillverkning av slangar",
22110,5,"Tillverkning och regummering av däck, tillverkning av slangar",
2212,4,Annan gummivarutillverkning,
22120,5,Annan gummivarutillverkning,
222,3,Plastvarutillverkning,
2221,4,Tillverkning av plasthalvfabrikat,
22210,5,Tillverkning av plasthalvfabrikat,
2222,4,Plastförpackningstillverkning,
22220,5,Plastförpackningstillverkning,
2223,4,Tillverkning av dörrar och fönster av plast,
22230,5,Tillverkning av dörrar och fönster av plast,
2224,4,Byggplastvarutillverkning,
22240,5,Byggplastvarutillverkning,
2225,4,Bearbetning och slutbehandling av plastvaror,
22250,5,Bearbetning och slutbehandling av plastvaror,
2226,4,Annan plastvarutillverkning,
22260,5,Annan plastvarutillverkning,
23,2,Tillverkning av andra icke-metalliska mineraliska produkter,
231,3,Glas- och glasvarutillverkning,
2311,4,Tillverkning av planglas,
23110,5,Tillverkning av planglas,
2312,4,Bearbetning av planglas,
23120,5,Bearbetning av planglas,
2313,4,"Tillverkning av buteljer, glasförpackningar och husgeråd av glas",
23130,5,"Tillverkning av buteljer, glasförpackningar och husgeråd av glas",
2314,4,Tillverkning av glasfiber,
23140,5,Tillverkning av glasfiber,
2315,4,Tillverkning av andra glasvaror inklusive tekniska glasvaror,
23150,5,Tillverkning av andra glasvaror inklusive tekniska glasvaror,
232,3,Tillverkning av eldfasta produkter,
2320,4,Tillverkning av eldfasta produkter,
23200,5,Tillverkning av eldfasta produkter,
233,3,Tillverkning av byggmaterial av lergods,
2331,4,Tillverkning av keramiska golv- och väggplattor,
23310,5,Tillverkning av keramiska golv- och väggplattor,
2332,4,"Tillverkning av murtegel, takpannor och andra byggvaror av tegel",
23320,5,"Tillverkning av murtegel, takpannor och andra byggvaror av tegel",
234,3,Tillverkning av andra porslinsprodukter och keramiska produkter,
2341,4,Tillverkning av keramiska hushålls- och prydnadsartiklar,
23410,5,Tillverkning av keramiska hushålls- och prydnadsartiklar,
2342,4,Tillverkning av keramiska sanitetsartiklar,
23420,5,Tillverkning av keramiska sanitetsartiklar,
2343,4,Tillverkning av keramiska isolatorer o.d.,
23430,5,Tillverkning av keramiska isolatorer o.d.,
2344,4,Tillverkning av andra tekniska keramiska produkter,
23440,5,Tillverkning av andra tekniska keramiska produkter,
2345,4,Tillverkning av andra keramiska produkter,
23450,5,Tillverkning av andra keramiska produkter,
235,3,"Tillverkning av cement, kalk och gips",
2351,4,Tillverkning av cement,
23510,5,Tillverkning av cement,
2352,4,Tillverkning av kalk och gips,
23520,5,Tillverkning av kalk och gips,
236,3,"Tillverkning av varor av betong, cement och gips",
2361,4,Tillverkning av betongvaror för byggändamål,
23610,5,Tillverkning av betongvaror för byggändamål,
2362,4,Tillverkning av gipsvaror för byggändamål,
23620,5,Tillverkning av gipsvaror för byggändamål,
2363,4,Tillverkning av fabriksblandad betong,
23630,5,Tillverkning av fabriksblandad betong,
2364,4,Tillverkning av murbruk,
23640,5,Tillverkning av murbruk,
2365,4,Tillverkning av fibercementvaror,
23650,5,Tillverkning av fibercementvaror,
2366,4,"Tillverkning av andra varor av betong, cement och gips",
23660,5,"Tillverkning av andra varor av betong, cement och gips",
237,3,"Huggning, formning och slutlig bearbetning av sten",
2370,4,"Huggning, formning och slutlig bearbetning av sten",
23700,5,"Huggning, formning och slutlig bearbetning av sten",
239,3,Tillverkning av slipmedel och övriga icke-metalliska mineraliska produkter,
2391,4,Tillverkning av slipmedel,
23910,5,Tillverkning av slipmedel,
2399,4,Tillverkning av diverse övriga icke-metalliska mineraliska produkter,
23990,5,Tillverkning av diverse övriga icke-metalliska mineraliska produkter,
24,2,Stål- och metallframställning,
241,3,Framställning av järn och stål samt ferrolegeringar,
2410,4,Framställning av järn och stål samt ferrolegeringar,
24100,5,Framställning av järn och stål samt ferrolegeringar,
242,3,"Tillverkning av rör, ledningar, ihåliga profiler och tillbehör av stål",
2420,4,"Tillverkning av rör, ledningar, ihåliga profiler och tillbehör av stål",
24200,5,"Tillverkning av rör, ledningar, ihåliga profiler och tillbehör av stål",
243,3,Annan primärbearbetning av stål,
2431,4,Tillverkning av kalldragen stålstång,
24310,5,Tillverkning av kalldragen stålstång,
2432,4,Tillverkning av kallvalsade stålband,
24320,5,Tillverkning av kallvalsade stålband,
2433,4,Tillverkning av andra kallformade produkter av stål,
24330,5,Tillverkning av andra kallformade produkter av stål,
2434,4,Tillverkning av kalldragen ståltråd,
24340,5,Tillverkning av kalldragen ståltråd,
244,3,Framställning av andra metaller än järn,
2441,4,Framställning av ädla metaller,
24410,5,Framställning av ädla metaller,
2442,4,Framställning av aluminium,
24420,5,Framställning av aluminium,
2443,4,"Framställning av bly, zink och tenn",
24430,5,"Framställning av bly, zink och tenn",
2444,4,Framställning av koppar,
24440,5,Framställning av koppar,
2445,4,Framställning av andra metaller,
24450,5,Framställning av andra metaller,
2446,4,Tillverkning av kärnbränsle,
24460,5,Tillverkning av kärnbränsle,
245,3,Gjutning av metall,
2451,4,Gjutning av järn,
24510,5,Gjutning av järn,
2452,4,Gjutning av stål,
24520,5,Gjutning av stål,
2453,4,Gjutning av lättmetall,
24530,5,Gjutning av lättmetall,
2454,4,Gjutning av andra metaller,
24540,5,Gjutning av andra metaller,
25,2,Tillverkning av metallvaror utom maskiner och apparater,
251,3,Byggnadsmetallvarutillverkning,
2511,4,Tillverkning av metallstommar och delar därav,
25110,5,Tillverkning av metallstommar och delar därav,
2512,4,Tillverkning av dörrar och fönster av metall,
25120,5,Tillverkning av dörrar och fönster av metall,
252,3,"Tillverkning av cisterner, tankar, kar och andra behållare av metall",
