sourceCode,sourceName,targetCode,targetName,distributionSourceToTarget,distributionTargetToSource,
08112,"Brytning av kalksten, gipssten, kritsten och dolomit",08110,"Brytning av natursten, kalk- och gipssten, skiffer eller annan sten",0,2,
08113,Brytning av skiffer,08110,"Brytning av natursten, kalk- och gipssten, skiffer eller annan sten",0,2,
0812,"Utvinning av sand, grus och berg; utvinning av lera och kaolin",0812,"Utvinning av sand, grus och berg samt utvinning av lera och kaolin",0,0,
08120,"Utvinning av sand, grus och berg; utvinning av lera och kaolin",08120,"Utvinning av sand, grus och berg samt utvinning av lera och kaolin",0,0,
089,Diverse övrig utvinning av mineral,089,Övrig utvinning av mineral,0,0,
0891,Brytning av kemiska mineral,0891,Utvinning av kemiska mineral,0,0,
08910,Brytning av kemiska mineral,08910,Utvinning av kemiska mineral,0,0,
0892,Torvutvinning,0892,Torvutvinning,0,0,
08920,Torvutvinning,08920,Torvutvinning,0,0,
0893,Saltutvinning,0893,Saltutvinning,0,0,
08930,Saltutvinning,08930,Saltutvinning,0,0,
0899,Övrig utvinning av mineral,0899,Diverse övrig utvinning av mineral,0,0,
08990,Övrig utvinning av mineral,08990,Diverse övrig utvinning av mineral,0,0,
09,Service till utvinning,09,Stödverksamhet avseende utvinning,0,0,
091,Stödtjänster till råpetroleum- och naturgasutvinning,091,Stödverksamhet avseende råpetroleum- och naturgasutvinning,0,0,
0910,Stödtjänster till råpetroleum- och naturgasutvinning,0910,Stödverksamhet avseende råpetroleum- och naturgasutvinning,0,0,
09100,Stödtjänster till råpetroleum- och naturgasutvinning,09100,Stödverksamhet avseende råpetroleum- och naturgasutvinning,0,0,
099,Stödtjänster till annan utvinning,099,Stödverksamhet avseende annan utvinning,0,0,
0990,Stödtjänster till annan utvinning,0990,Stödverksamhet avseende annan utvinning,0,0,
09900,Stödtjänster till annan utvinning,09900,Stödverksamhet avseende annan utvinning,0,0,
C,Tillverkning,S,"Kultur, idrott och fritid",2,2,
C,Tillverkning,C,Tillverkning,2,2,
C,Tillverkning,A,"Jordbruk, skogsbruk och fiske",2,2,
10,Livsmedelsframställning,11,Framställning av drycker,2,2,
10,Livsmedelsframställning,10,Livsmedelsframställning,2,0,
101,Beredning och hållbarhetsbehandling av kött och köttvaror,101,Beredning och hållbarhetsbehandling av kött och köttvaror,0,0,
1011,Beredning och hållbarhetsbehandling av kreaturskött,1011,"Beredning och hållbarhetsbehandling av kött, utom fjäderfäkött",0,0,
10110,Beredning och hållbarhetsbehandling av kreaturskött,10110,"Beredning och hållbarhetsbehandling av kött, utom fjäderfäkött",0,0,
1012,Beredning och hållbarhetsbehandling av fjäderfäkött,1012,Beredning och hållbarhetsbehandling av fjäderfäkött,0,0,
10120,Beredning och hållbarhetsbehandling av fjäderfäkött,10120,Beredning och hållbarhetsbehandling av fjäderfäkött,0,0,
1013,Charkuteri- och annan köttvarutillverkning,1013,Charkuteri- och annan köttvarutillverkning,0,0,
10130,Charkuteri- och annan köttvarutillverkning,10130,Charkuteri- och annan köttvarutillverkning,0,0,
102,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur,102,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur,0,0,
1020,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur,1020,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur,0,0,
10200,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur,10200,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur,0,0,
103,"Beredning och hållbarhetsbehandling av frukt, bär och grönsaker",103,"Beredning och hållbarhetsbehandling av frukt, bär och grönsaker",0,0,
1031,Beredning och hållbarhetsbehandling av potatis,1031,Beredning och hållbarhetsbehandling av potatis,0,0,
10310,Beredning och hållbarhetsbehandling av potatis,10310,Beredning och hållbarhetsbehandling av potatis,0,0,
1032,Juice- och safttillverkning,1032,Juice- och safttillverkning,0,0,
10320,Juice- och safttillverkning,10320,Juice- och safttillverkning,0,0,
1039,"Annan beredning och hållbarhetsbehandling av frukt, bär och grönsaker",1039,"Annan beredning och hållbarhetsbehandling av frukt, bär och grönsaker",0,0,
10390,"Annan beredning och hållbarhetsbehandling av frukt, bär och grönsaker",10390,"Annan beredning och hållbarhetsbehandling av frukt, bär och grönsaker",0,0,
104,Framställning av vegetabiliska och animaliska oljor och fetter,104,Framställning av vegetabiliska och animaliska oljor och fetter,0,0,
1041,Utvinning av vegetabiliska och animaliska oljor och fetter,1041,Framställning av vegetabiliska och animaliska oljor och fetter,0,0,
10410,Utvinning av vegetabiliska och animaliska oljor och fetter,10410,Framställning av vegetabiliska och animaliska oljor och fetter,0,0,
1042,Matfettstillverkning,1042,Matfettstillverkning,0,0,
10420,Matfettstillverkning,10420,Matfettstillverkning,0,0,
105,Mejerivaru- och glasstillverkning,105,Tillverkning av mejerivaror och glassvaror,0,0,
1051,Mejerivarutillverkning,1051,Tillverkning av mejerivaror,0,0,
10510,Mejerivarutillverkning,10510,Tillverkning av mejerivaror,0,0,
1052,Glasstillverkning,1052,Tillverkning av glassvaror,0,0,
10520,Glasstillverkning,10520,Tillverkning av glassvaror,0,0,
106,Tillverkning av kvarnprodukter och stärkelse,106,Tillverkning av kvarnprodukter och stärkelse,0,2,
1061,Tillverkning av kvarnprodukter,1061,Tillverkning av kvarnprodukter,0,2,
10610,Tillverkning av kvarnprodukter,10610,Tillverkning av kvarnprodukter,0,1,
1062,Stärkelsetillverkning,1062,Stärkelsetillverkning,0,2,
10620,Stärkelsetillverkning,10620,Stärkelsetillverkning,0,1,
107,Tillverkning av bageri- och mjölprodukter,107,Tillverkning av bageri- och mjölprodukter,0,2,
1071,Tillverkning av mjukt matbröd och färska bakverk,1071,Tillverkning av mjukt matbröd och färska bakverk,0,2,
10710,Tillverkning av mjukt matbröd och färska bakverk,10710,Tillverkning av mjukt matbröd och färska bakverk,0,2,
1072,"Tillverkning av knäckebröd, kex och konserverade bakverk",1072,"Tillverkning av knäckebröd, kex och konserverade bakverk",0,2,
10720,"Tillverkning av knäckebröd, kex och konserverade bakverk",10720,"Tillverkning av knäckebröd, kex och konserverade bakverk",0,2,
1073,Tillverkning av pastaprodukter,1073,Tillverkning av mjölprodukter,0,2,
10730,Tillverkning av pastaprodukter,10730,Tillverkning av mjölprodukter,0,2,
108,Annan livsmedelsframställning,110,Framställning av drycker,2,2,
108,Annan livsmedelsframställning,108,Annan livsmedelsframställning,2,0,
108,Annan livsmedelsframställning,107,Tillverkning av bageri- och mjölprodukter,2,2,
108,Annan livsmedelsframställning,106,Tillverkning av kvarnprodukter och stärkelse,2,2,
1081,Sockertillverkning,1081,Sockertillverkning,0,0,
10810,Sockertillverkning,10810,Sockertillverkning,0,0,
1082,"Tillverkning av choklad, choklad- och sockerkonfektyrer",1082,"Tillverkning av kakao, choklad- och sockerkonfektyrer",0,0,
10820,"Tillverkning av choklad, choklad- och sockerkonfektyrer",10820,"Tillverkning av kakao, choklad- och sockerkonfektyrer",0,0,
1083,Framställning av te och kaffe,1083,Framställning av te och kaffe,0,0,
10830,Framställning av te och kaffe,10830,Framställning av te och kaffe,0,0,
1084,"Tillverkning av senap, ketchup, kryddor och andra smaksättningsmedel",1084,Tillverkning av kryddor och andra smaksättare,0,0,
10840,"Tillverkning av senap, ketchup, kryddor och andra smaksättningsmedel",10840,Tillverkning av kryddor och andra smaksättare,0,0,
1085,Tillverkning av lagad mat och färdigrätter,1085,Tillverkning av lagad mat och färdigrätter,0,0,
10850,Tillverkning av lagad mat och färdigrätter,10850,Tillverkning av lagad mat och färdigrätter,0,0,
1086,Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat,1086,Tillverkning av homogeniserade livsmedelsberedningar inklusive dietmat,2,0,
1086,Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat,1073,Tillverkning av mjölprodukter,2,2,
1086,Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat,1072,"Tillverkning av knäckebröd, kex och konserverade bakverk",2,2,
1086,Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat,1071,Tillverkning av mjukt matbröd och färska bakverk,2,2,
1086,Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat,1062,Stärkelsetillverkning,2,2,
1086,Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat,1061,Tillverkning av kvarnprodukter,2,2,
10860,Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat,10860,Tillverkning av homogeniserade livsmedelsberedningar inklusive dietmat,1,0,
10860,Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat,10730,Tillverkning av mjölprodukter,2,2,
10860,Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat,10720,"Tillverkning av knäckebröd, kex och konserverade bakverk",2,2,
10860,Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat,10710,Tillverkning av mjukt matbröd och färska bakverk,2,2,
10860,Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat,10620,Stärkelsetillverkning,2,2,
10860,Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat,10610,Tillverkning av kvarnprodukter,2,2,
1089,Framställning av andra livsmedel,1107,"Framställning av läskedrycker, mineralvatten och annat vatten på flaska",2,2,
1089,Framställning av andra livsmedel,1089,Framställning av diverse övriga livsmedel,2,0,
10890,Framställning av andra livsmedel,11070,"Framställning av läskedrycker, mineralvatten och annat vatten på flaska",2,2,
10890,Framställning av andra livsmedel,10890,Framställning av diverse övriga livsmedel,1,0,
109,Framställning av beredda djurfoder,109,Framställning av beredda djurfoder,0,0,
1091,Framställning av beredda fodermedel,1091,Framställning av beredda fodermedel,0,0,
10910,Framställning av beredda fodermedel,10910,Framställning av beredda fodermedel,0,0,
1092,Framställning av mat till sällskapsdjur,1092,Framställning av mat till sällskapsdjur,0,0,
10920,Framställning av mat till sällskapsdjur,10920,Framställning av mat till sällskapsdjur,0,0,
11,Framställning av drycker,11,Framställning av drycker,0,2,
110,Framställning av drycker,110,Framställning av drycker,0,2,
1101,"Destillering, rening och tillblandning av spritdrycker",1101,"Destillering, rening och tillblandning av spritdrycker",0,0,
11010,"Destillering, rening och tillblandning av spritdrycker",11010,"Destillering, rening och tillblandning av spritdrycker",0,0,
1102,Framställning av vin från druvor,1102,Framställning av vin från druvor,0,0,
11020,Framställning av vin från druvor,11020,Framställning av vin från druvor,0,0,
1103,Framställning av cider och andra fruktviner,1103,Framställning av cider och andra jästa drycker av frukt,0,0,
11030,Framställning av cider och andra fruktviner,11030,Framställning av cider och andra jästa drycker av frukt,0,0,
1104,Framställning av andra icke-destillerade jästa drycker,1104,Framställning av andra icke-destillerade jästa drycker,0,0,
11040,Framställning av andra icke-destillerade jästa drycker,11040,Framställning av andra icke-destillerade jästa drycker,0,0,
1105,Framställning av öl,1105,Framställning av öl,0,0,
11050,Framställning av öl,11050,Framställning av öl,0,0,
1106,Framställning av malt,1106,Framställning av malt,0,0,
11060,Framställning av malt,11060,Framställning av malt,0,0,
1107,"Framställning av läskedrycker, mineralvatten och annat vatten på flaska",1107,"Framställning av läskedrycker, mineralvatten och annat vatten på flaska",0,2,
11070,"Framställning av läskedrycker, mineralvatten och annat vatten på flaska",11070,"Framställning av läskedrycker, mineralvatten och annat vatten på flaska",0,2,
12,Tobaksvarutillverkning,12,Tobaksvarutillverkning,0,0,
120,Tobaksvarutillverkning,120,Tobaksvarutillverkning,0,0,
1200,Tobaksvarutillverkning,1200,Tobaksvarutillverkning,0,0,
12000,Tobaksvarutillverkning,12000,Tobaksvarutillverkning,0,0,
13,Textilvarutillverkning,23,Tillverkning av andra icke-metalliska mineraliska produkter,2,2,
13,Textilvarutillverkning,13,Textilvarutillverkning,2,2,
131,Garntillverkning,131,Garntillverkning,0,0,
1310,Garntillverkning,1310,Garntillverkning,0,0,
13100,Garntillverkning,13100,Garntillverkning,0,0,
132,Vävnadstillverkning,239,Tillverkning av slipmedel och övriga icke-metalliska mineraliska produkter,2,2,
132,Vävnadstillverkning,139,Annan textilietillverkning,2,2,
132,Vävnadstillverkning,132,Vävnadstillverkning,2,0,
1320,Vävnadstillverkning,2399,Tillverkning av diverse övriga icke-metalliska mineraliska produkter,2,2,
1320,Vävnadstillverkning,1396,Tillverkning av andra tekniska textilier och industritextilier,2,2,
1320,Vävnadstillverkning,1320,Vävnadstillverkning,2,0,
13200,Vävnadstillverkning,23990,Tillverkning av diverse övriga icke-metalliska mineraliska produkter,2,2,
13200,Vävnadstillverkning,13960,Tillverkning av andra tekniska textilier och industritextilier,2,2,
13200,Vävnadstillverkning,13200,Vävnadstillverkning,1,0,
133,"Blekning, färgning och annan textilberedning",133,"Blekning, färgning och annan textilberedning",0,2,
1330,"Blekning, färgning och annan textilberedning",1330,"Blekning, färgning och annan textilberedning",0,2,
13300,"Blekning, färgning och annan textilberedning",13300,"Blekning, färgning och annan textilberedning",0,1,
139,Annan textilietillverkning,139,Annan textilietillverkning,0,2,
1391,Tillverkning av trikåväv,1391,Tillverkning av trikåväv,0,0,
13910,Tillverkning av trikåväv,13910,Tillverkning av trikåväv,0,0,
1392,Tillverkning av sydda textilvaror utom beklädnadsvaror,1396,Tillverkning av andra tekniska textilier och industritextilier,2,2,
1392,Tillverkning av sydda textilvaror utom beklädnadsvaror,1392,Tillverkning av hushållstextilier och andra sydda inredningsartiklar,2,0,
13921,Tillverkning av inredningstextilier,13960,Tillverkning av andra tekniska textilier och industritextilier,2,2,
13921,Tillverkning av inredningstextilier,13920,Tillverkning av hushållstextilier och andra sydda inredningsartiklar,1,2,
13922,"Tillverkning av presenningar, segel och andra sydda textilprodukter",13960,Tillverkning av andra tekniska textilier och industritextilier,2,2,
13922,"Tillverkning av presenningar, segel och andra sydda textilprodukter",13920,Tillverkning av hushållstextilier och andra sydda inredningsartiklar,2,2,
1393,Tillverkning av mattor,1393,Tillverkning av mattor,0,0,
